salesHistoryKey,neighborhood,street name,salesTypeDsc,sale amount,saleDate,Days between last sale,Previous saleDate,cumsum sale amount,margin sale amount,amount_pct_change
719663677,506823,1610 KEY BLVD,,930000,2023-04-27 00:00:00+00:00,354.0,2022-05-08 00:00:00+00:00,930000.0,930000.0,
719615105,507050,1610 KIRKWOOD RD,,830000,2021-11-01 00:00:00+00:00,,,830000.0,,
719615109,507050,1610 KIRKWOOD RD,2-Sale or Gift to Relative,0,2022-10-26 00:00:00+00:00,359.0,2021-11-01 00:00:00+00:00,830000.0,-830000.0,-100.00%
719645709,506056,1610 N COLONIAL TER,5-Not Market Sale,0,2021-07-23 00:00:00+00:00,,,0.0,,
719619165,506051,1610 N DANVILLE ST,,2325000,2022-08-30 00:00:00+00:00,,,2325000.0,,
719413213,505030,1610 N HARRISON ST,W-Will / R.O.S/L O H,0,2021-05-24 00:00:00+00:00,,,0.0,,
719437233,501021,1610 N LEXINGTON ST,5-Not Market Sale,0,2021-11-03 00:00:00+00:00,,,0.0,,
719470765,501022,1610 N NICHOLAS ST,N-DREA Not a market Sale,1300000,2024-07-05 00:00:00+00:00,,,1300000.0,,
720370325,220007,1610 N QUEEN ST 214,,830000,2023-11-30 00:00:00+00:00,,,830000.0,,
720370381,220007,1610 N QUEEN ST 218,,1515000,2024-10-10 00:00:00+00:00,,,1515000.0,,
720370397,220007,1610 N QUEEN ST 222,5-Not Market Sale,0,2020-02-15 00:00:00+00:00,,,0.0,,
720370401,220007,1610 N QUEEN ST 222,,870000,2020-11-20 00:00:00+00:00,279.0,2020-02-15 00:00:00+00:00,870000.0,870000.0,
720370405,220007,1610 N QUEEN ST 222,,925000,2024-10-15 00:00:00+00:00,1425.0,2020-11-20 00:00:00+00:00,1795000.0,55000.0,6.32%
720370449,220007,1610 N QUEEN ST 226,,700000,2019-05-28 00:00:00+00:00,,,700000.0,,
720370477,220007,1610 N QUEEN ST 231,,1420000,2019-07-24 00:00:00+00:00,,,1420000.0,,
720370513,220007,1610 N QUEEN ST 234,2-Sale or Gift to Relative,0,2020-06-12 00:00:00+00:00,,,0.0,,
720370533,220007,1610 N QUEEN ST 235,,1030000,2019-05-02 00:00:00+00:00,,,1030000.0,,
720370537,220007,1610 N QUEEN ST 235,,1025000,2022-05-19 00:00:00+00:00,1113.0,2019-05-02 00:00:00+00:00,2055000.0,-5000.0,-0.49%
720370557,220007,1610 N QUEEN ST 236,,775000,2022-08-10 00:00:00+00:00,,,775000.0,,
720370561,220007,1610 N QUEEN ST 236,A-Correction Deed,0,2022-08-10 00:00:00+00:00,0.0,2022-08-10 00:00:00+00:00,775000.0,-775000.0,-100.00%
720370589,220007,1610 N QUEEN ST 241,,1375000,2024-07-29 00:00:00+00:00,,,1375000.0,,
720370593,220007,1610 N QUEEN ST 241,5-Not Market Sale,0,2024-09-13 00:00:00+00:00,46.0,2024-07-29 00:00:00+00:00,1375000.0,-1375000.0,-100.00%
720370617,220007,1610 N QUEEN ST 243,,955000,2020-02-20 00:00:00+00:00,,,955000.0,,
720370629,220007,1610 N QUEEN ST 244,,790000,2020-08-28 00:00:00+00:00,,,790000.0,,
720370633,220007,1610 N QUEEN ST 244,,795000,2024-02-24 00:00:00+00:00,1275.0,2020-08-28 00:00:00+00:00,1585000.0,5000.0,0.63%
720370645,220007,1610 N QUEEN ST 245,,970000,2020-11-10 00:00:00+00:00,,,970000.0,,
720370685,220007,1610 N QUEEN ST 248,,1489900,2021-06-11 00:00:00+00:00,,,1489900.0,,
720370701,220007,1610 N QUEEN ST 251,,1499000,2020-09-10 00:00:00+00:00,,,1499000.0,,
720370705,220007,1610 N QUEEN ST 251,,1340000,2024-11-07 00:00:00+00:00,1519.0,2020-09-10 00:00:00+00:00,2839000.0,-159000.0,-10.61%
720370745,220007,1610 N QUEEN ST 254,C-Condo Parking Space,4000,2019-10-07 00:00:00+00:00,,,4000.0,,
720370757,220007,1610 N QUEEN ST 255,,1035000,2024-01-02 00:00:00+00:00,,,1035000.0,,
719436953,505020,1610 PATRICK HENRY DR,,0,2022-04-25 00:00:00+00:00,,,0.0,,
719922057,510844,1610 S TAYLOR ST,,837500,2024-02-12 00:00:00+00:00,,,837500.0,,
720323369,511089,1611 ARMY NAVY DR,2-Sale or Gift to Relative,0,2024-11-06 00:00:00+00:00,,,0.0,,
720364421,501022,1611 MCKINLEY RD,N-DREA Not a market Sale,1700000,2021-05-04 00:00:00+00:00,,,1700000.0,,
719619901,506051,1611 N BRYAN ST,,1860500,2021-09-28 00:00:00+00:00,,,1860500.0,,
719436773,505020,1611 N LEXINGTON ST,L-Land Sale,875000,2021-08-23 00:00:00+00:00,,,875000.0,,
719436777,505020,1611 N LEXINGTON ST,G-New Construction,2291380,2022-09-15 00:00:00+00:00,388.0,2021-08-23 00:00:00+00:00,3166380.0,1416380.0,161.87%
720079073,182112,1611 S BARTON ST 00025,5-Not Market Sale,0,2024-07-24 00:00:00+00:00,,,0.0,,
720170725,511092,1612 22nd ST S,W-Will / R.O.S/L O H,0,2020-06-10 00:00:00+00:00,,,0.0,,
719695945,506835,1612 ARLINGTON BLVD,,795000,2021-04-27 00:00:00+00:00,,,795000.0,,
719663697,506823,1612 KEY BLVD,5-Not Market Sale,0,2019-03-15 00:00:00+00:00,,,0.0,,
719622741,506051,1612 N GARFIELD ST,,2085000,2022-09-28 00:00:00+00:00,,,2085000.0,,
719383453,505039,1612 N GLEBE RD,5-Not Market Sale,0,2019-09-03 00:00:00+00:00,,,0.0,,
720202241,506883,1612 N RHODES ST,,1225000,2020-12-09 00:00:00+00:00,,,1225000.0,,
719640853,506056,1613 N COLONIAL TER,5-Not Market Sale,0,2023-07-11 00:00:00+00:00,,,0.0,,
719622253,506051,1613 N GARFIELD ST,N-DREA Not a market Sale,1130000,2021-01-29 00:00:00+00:00,,,1130000.0,,
719622257,506051,1613 N GARFIELD ST,5-Not Market Sale,0,2023-02-10 00:00:00+00:00,742.0,2021-01-29 00:00:00+00:00,1130000.0,-1130000.0,-100.00%
719413709,505030,1613 N HARRISON ST,,950000,2019-06-10 00:00:00+00:00,,,950000.0,,
719412973,505030,1613 N INGLEWOOD ST,,1235000,2019-06-18 00:00:00+00:00,,,1235000.0,,
719352533,507037,1613 N STAFFORD ST,,1175000,2021-08-10 00:00:00+00:00,,,1175000.0,,
719663717,506823,1614 KEY BLVD,5-Not Market Sale,0,2019-02-21 00:00:00+00:00,,,0.0,,
719663725,506823,1614 KEY BLVD,5-Not Market Sale,0,2020-10-22 00:00:00+00:00,609.0,2019-02-21 00:00:00+00:00,0.0,0.0,
719663721,506823,1614 KEY BLVD,2-Sale or Gift to Relative,0,2020-10-22 00:00:00+00:00,0.0,2020-10-22 00:00:00+00:00,0.0,0.0,
719663729,506823,1614 KEY BLVD,2-Sale or Gift to Relative,0,2024-01-17 00:00:00+00:00,1182.0,2020-10-22 00:00:00+00:00,0.0,0.0,
719411837,505020,1614 N KENILWORTH ST,2-Sale or Gift to Relative,0,2020-01-09 00:00:00+00:00,,,0.0,,
719411841,505020,1614 N KENILWORTH ST,,883000,2021-11-12 00:00:00+00:00,673.0,2020-01-09 00:00:00+00:00,883000.0,883000.0,
719411845,505020,1614 N KENILWORTH ST,G-New Construction,2251935,2023-05-22 00:00:00+00:00,556.0,2021-11-12 00:00:00+00:00,3134935.0,1368935.0,155.03%
720100581,509854,1615 10th ST S,,620000,2022-06-28 00:00:00+00:00,,,620000.0,,
720099737,509077,1615 13th ST S,,1100000,2023-06-12 00:00:00+00:00,,,1100000.0,,
720387173,870000,1615 18th ST N,"4-Multiple RPCs, Not A Coded S",5900000,2019-04-09 00:00:00+00:00,,,5900000.0,,
720387189,870000,1615 18th ST N,F-Multiple RPCs Not Market Sal,5900000,2019-04-09 00:00:00+00:00,0.0,2019-04-09 00:00:00+00:00,11800000.0,0.0,0.00%
720387197,870000,1615 18th ST N,F-Multiple RPCs Not Market Sal,0,2019-04-09 00:00:00+00:00,0.0,2019-04-09 00:00:00+00:00,11800000.0,-5900000.0,-100.00%
720387181,870000,1615 18th ST N,F-Multiple RPCs Not Market Sal,5900000,2019-04-09 00:00:00+00:00,0.0,2019-04-09 00:00:00+00:00,17700000.0,5900000.0,
720387205,870000,1615 18th ST N,F-Multiple RPCs Not Market Sal,0,2019-04-09 00:00:00+00:00,0.0,2019-04-09 00:00:00+00:00,17700000.0,-5900000.0,-100.00%
720387177,870000,1615 18th ST N,D-Resub/Declaration,0,2019-04-11 00:00:00+00:00,2.0,2019-04-09 00:00:00+00:00,17700000.0,0.0,
720387193,870000,1615 18th ST N,D-Resub/Declaration,0,2019-04-11 00:00:00+00:00,0.0,2019-04-11 00:00:00+00:00,17700000.0,0.0,
720387209,870000,1615 18th ST N,D-Resub/Declaration,0,2019-04-11 00:00:00+00:00,0.0,2019-04-11 00:00:00+00:00,17700000.0,0.0,
720387213,870000,1615 18th ST N,D-Resub/Declaration,0,2019-04-11 00:00:00+00:00,0.0,2019-04-11 00:00:00+00:00,17700000.0,0.0,
720387185,870000,1615 18th ST N,D-Resub/Declaration,0,2019-04-11 00:00:00+00:00,0.0,2019-04-11 00:00:00+00:00,17700000.0,0.0,
