street name,max_sale_amount,avg_sale_amount,num_of_sales,total_sale_amount
1001 N RANDOLPH ST 422,415000,415000.0,1,415000
1001 N RANDOLPH ST 502,566000,566000.0,1,566000
1001 N RANDOLPH ST 505,400000,400000.0,1,400000
1001 N RANDOLPH ST 508,388000,388000.0,1,388000
1001 N RANDOLPH ST 509,375000,375000.0,1,375000
1001 N RANDOLPH ST 510,0,0.0,2,0
1001 N RANDOLPH ST 518,775000,387500.0,2,775000
1001 N RANDOLPH ST 523,392000,392000.0,1,392000
1001 N RANDOLPH ST 601,542500,542500.0,1,542500
1001 N RANDOLPH ST 604,375000,375000.0,1,375000
1001 N RANDOLPH ST 607,400000,400000.0,1,400000
1001 N RANDOLPH ST 609,396000,396000.0,1,396000
1001 N RANDOLPH ST 611,560000,560000.0,1,560000
1001 N RANDOLPH ST 612,394000,394000.0,1,394000
1001 N RANDOLPH ST 613,0,0.0,1,0
1001 N RANDOLPH ST 615,389000,389000.0,1,389000
1001 N RANDOLPH ST 617,397000,397000.0,1,397000
1001 N RANDOLPH ST 618,0,0.0,1,0
1001 N RANDOLPH ST 621,368000,368000.0,1,368000
1001 N RANDOLPH ST 622,405000,405000.0,1,405000
1001 N RANDOLPH ST 623,388500,388500.0,1,388500
1001 N RANDOLPH ST 701,546000,273000.0,2,546000
1001 N RANDOLPH ST 702,560000,560000.0,1,560000
1001 N RANDOLPH ST 703,365000,365000.0,1,365000
1001 N RANDOLPH ST 709,401000,401000.0,1,401000
1001 N RANDOLPH ST 710,464000,464000.0,1,464000
1001 N RANDOLPH ST 712,0,0.0,2,0
1001 N RANDOLPH ST 713,405000,405000.0,1,405000
1001 N RANDOLPH ST 714,415000,415000.0,1,415000
1001 N RANDOLPH ST 721,319000,159500.0,2,319000
1001 N RANDOLPH ST 802,545000,545000.0,1,545000
1001 N RANDOLPH ST 803,388000,388000.0,1,388000
1001 N RANDOLPH ST 804,390000,390000.0,1,390000
1001 N RANDOLPH ST 806,405000,405000.0,1,405000
1001 N RANDOLPH ST 808,412000,412000.0,1,412000
1001 N RANDOLPH ST 809,395000,395000.0,1,395000
1001 N RANDOLPH ST 810,499900,499900.0,1,499900
1001 N RANDOLPH ST 814,751900,375950.0,2,751900
1001 N RANDOLPH ST 819,535000,535000.0,1,535000
1001 N RANDOLPH ST 822,400000,400000.0,1,400000
1001 N RANDOLPH ST 823,385000,385000.0,1,385000
1001 N RANDOLPH ST 901,550000,275000.0,2,550000
1001 N RANDOLPH ST 904,377000,377000.0,1,377000
1001 N RANDOLPH ST 905,420000,420000.0,1,420000
1001 N RANDOLPH ST 909,804000,268000.0,3,804000
1001 N RANDOLPH ST 910,499500,499500.0,1,499500
1001 N RANDOLPH ST 911,535000,535000.0,1,535000
1001 N RANDOLPH ST 915,385000,385000.0,1,385000
1001 N RANDOLPH ST 916,388000,388000.0,1,388000
1001 N RANDOLPH ST 920,385000,385000.0,1,385000
1001 N RANDOLPH ST 921,810000,405000.0,2,810000
1001 S COLUMBUS ST,0,0.0,1,0
1001 S ROLFE ST,622500,622500.0,1,622500
1002 N CLEVELAND ST,945000,945000.0,1,945000
1002 S QUINN ST,0,0.0,1,0
1003 N DANIEL ST,1839900,459975.0,4,1839900
1003 N HARRISON ST,850000,850000.0,1,850000
1003 N LEXINGTON ST,0,0.0,2,0
1003 PATRICK HENRY DR,0,0.0,1,0
1004 20th ST S,0,0.0,1,0
1004 N ARLINGTON MILL DR,904999,904999.0,1,904999
1004 N DANIEL ST,1150000,575000.0,2,1150000
1004 N KENTUCKY ST,1020000,1020000.0,1,1020000
1004 N LIVINGSTON ST,1050000,525000.0,2,1050000
1004 S DINWIDDIE ST,665000,665000.0,1,665000
1004 S EDISON ST,0,0.0,1,0
1004 S QUEEN ST,230000,230000.0,1,230000
1005 17th ST S,2675000,891666.6666666666,3,2675000
1005 23rd ST S,0,0.0,1,0
1005 N DANIEL ST A,810000,810000.0,1,810000
1005 N GLEBE RD,50150000,50150000.0,1,50150000
1005 N KENTUCKY ST,1340000,1340000.0,1,1340000
1005 N LARRIMORE ST,2215000,1107500.0,2,2215000
1005 N LEBANON ST,0,0.0,2,0
1005 N MADISON ST,1947500,973750.0,2,1947500
1005 N QUINTANA ST,980000,980000.0,1,980000
1005 S EDISON ST,740000,740000.0,1,740000
1005 S QUEEN ST,840000,840000.0,1,840000
1005 S QUINN ST,1930000,965000.0,2,1930000
1005 S ROLFE ST,910000,910000.0,1,910000
1006 17th ST S,975000,487500.0,2,975000
1006 26th ST S,900000,900000.0,1,900000
1006 N CLEVELAND ST,2070000,1035000.0,2,2070000
1006 S QUEEN ST,0,0.0,1,0
1007 18th ST S,900000,450000.0,2,900000
1007 26th RD S,0,0.0,1,0
1007 N DANIEL ST,0,0.0,4,0
1007 N GEORGE MASON DR,810000,810000.0,1,810000
1007 N KENSINGTON ST,1075000,1075000.0,1,1075000
1007 S ROLFE ST,775000,387500.0,2,775000
1008 16th ST S,0,0.0,2,0
1008 N JEFFERSON ST,868150,868150.0,1,868150
1008 N KENNESAW ST,0,0.0,1,0
1008 N LIBERTY ST,960000,960000.0,1,960000
1008 N MADISON ST,1122000,1122000.0,1,1122000
1008 N ROOSEVELT ST,1192000,596000.0,2,1192000
1008 S BUCHANAN ST,418000,418000.0,1,418000
1008 S DINWIDDIE ST,700000,700000.0,1,700000
1009 17th ST S,0,0.0,1,0
1009 20th ST S,0,0.0,1,0
1009 26th ST S,0,0.0,4,0
1009 N LIVINGSTON ST,1201000,1201000.0,1,1201000
1009 N POWHATAN ST,0,0.0,1,0
1009 S COLUMBUS ST,692000,692000.0,1,692000
1009 S QUEEN ST,1275500,637750.0,2,1275500
1009 S QUINN ST,775000,775000.0,1,775000
1009 S ROLFE ST,1535000,767500.0,2,1535000
101 N EDISON ST,1049000,349666.6666666667,3,1049000
101 N GEORGE MASON DR 101-2,430000,215000.0,2,430000
101 N GLEBE RD,0,0.0,2,0
101 N GRANADA ST,1660000,830000.0,2,1660000
101 N GREENBRIER ST,825000,412500.0,2,825000
101 N HIGHLAND ST,1615000,1615000.0,1,1615000
101 N IRVING ST,965650,965650.0,1,965650
101 N LIBERTY ST,1050000,525000.0,2,1050000
101 S ABERDEEN ST,0,0.0,1,0
101 S GARFIELD ST,0,0.0,1,0
101 S LEXINGTON ST,0,0.0,1,0
1010 17th ST S,0,0.0,1,0
1010 19th ST S,905000,301666.6666666667,3,905000
1010 21st ST S,0,0.0,1,0
1010 N CLEVELAND ST,0,0.0,1,0
1010 N QUINTANA ST,1013000,1013000.0,1,1013000
